1640217908.591896 client started (2062): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1640217908.591963 on Darwin 21.2.0 Darwin Kernel Version 21.2.0: Sun Nov 28 20:28:54 PST 2021; root:xnu-8019.61.5~1/RELEASE_X86_64
1640217908.592332 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.2
1640217908.594577 sending message 112 to peer 0x7fe07c831000 (21 bytes)
1640217908.594585 sending message 112 to peer 0x7fe07c831000 (13 bytes)
1640217908.594594 sending message 112 to peer 0x7fe07c831000 (8 bytes)
1640217908.594602 sending message 112 to peer 0x7fe07c831000 (12 bytes)
1640217908.594611 sending message 112 to peer 0x7fe07c831000 (13 bytes)
1640217908.594619 sending message 112 to peer 0x7fe07c831000 (9 bytes)
1640217908.594628 sending message 112 to peer 0x7fe07c831000 (9 bytes)
1640217908.594637 sending message 112 to peer 0x7fe07c831000 (12 bytes)
1640217908.594645 sending message 112 to peer 0x7fe07c831000 (8 bytes)
1640217908.594654 sending message 112 to peer 0x7fe07c831000 (7 bytes)
1640217908.594662 sending message 112 to peer 0x7fe07c831000 (7 bytes)
1640217908.594671 sending message 112 to peer 0x7fe07c831000 (9 bytes)
1640217908.594679 sending message 112 to peer 0x7fe07c831000 (13 bytes)
1640217908.594688 sending message 112 to peer 0x7fe07c831000 (9 bytes)
1640217908.594696 sending message 112 to peer 0x7fe07c831000 (15 bytes)
1640217908.594705 sending message 112 to peer 0x7fe07c831000 (13 bytes)
1640217908.594713 sending message 112 to peer 0x7fe07c831000 (12 bytes)
1640217908.594722 sending message 112 to peer 0x7fe07c831000 (8 bytes)
1640217908.594730 sending message 112 to peer 0x7fe07c831000 (14 bytes)
1640217908.594739 sending message 112 to peer 0x7fe07c831000 (9 bytes)
1640217908.594747 sending message 112 to peer 0x7fe07c831000 (10 bytes)
1640217908.594756 sending message 112 to peer 0x7fe07c831000 (10 bytes)
1640217908.594764 sending message 112 to peer 0x7fe07c831000 (10 bytes)
1640217908.594773 sending message 112 to peer 0x7fe07c831000 (10 bytes)
1640217908.594781 sending message 112 to peer 0x7fe07c831000 (11 bytes)
1640217908.594790 sending message 112 to peer 0x7fe07c831000 (10 bytes)
1640217908.594799 sending message 112 to peer 0x7fe07c831000 (8 bytes)
1640217908.594824 sending message 112 to peer 0x7fe07c831000 (11 bytes)
1640217908.594830 sending message 112 to peer 0x7fe07c831000 (11 bytes)
1640217908.594836 sending message 112 to peer 0x7fe07c831000 (11 bytes)
1640217908.594841 sending message 112 to peer 0x7fe07c831000 (8 bytes)
1640217908.594847 sending message 112 to peer 0x7fe07c831000 (8 bytes)
1640217908.594852 sending message 112 to peer 0x7fe07c831000 (8 bytes)
1640217908.594858 sending message 112 to peer 0x7fe07c831000 (10 bytes)
1640217908.594863 sending message 112 to peer 0x7fe07c831000 (10 bytes)
1640217908.594869 sending message 112 to peer 0x7fe07c831000 (10 bytes)
1640217908.594877 sending message 112 to peer 0x7fe07c831000 (10 bytes)
1640217908.594883 sending message 112 to peer 0x7fe07c831000 (10 bytes)
1640217908.594889 sending message 112 to peer 0x7fe07c831000 (11 bytes)
1640217908.594894 sending message 112 to peer 0x7fe07c831000 (11 bytes)
1640217908.594900 sending message 112 to peer 0x7fe07c831000 (10 bytes)
1640217908.594905 sending message 112 to peer 0x7fe07c831000 (9 bytes)
1640217908.594911 sending message 112 to peer 0x7fe07c831000 (9 bytes)
1640217908.594916 sending message 112 to peer 0x7fe07c831000 (12 bytes)
1640217908.594922 sending message 112 to peer 0x7fe07c831000 (9 bytes)
1640217908.594927 sending message 112 to peer 0x7fe07c831000 (6 bytes)
1640217908.594933 sending message 112 to peer 0x7fe07c831000 (8 bytes)
1640217908.594938 sending message 112 to peer 0x7fe07c831000 (15 bytes)
1640217908.594944 sending message 112 to peer 0x7fe07c831000 (13 bytes)
1640217908.594949 sending message 112 to peer 0x7fe07c831000 (16 bytes)
1640217908.594955 sending message 112 to peer 0x7fe07c831000 (16 bytes)
1640217908.594960 sending message 112 to peer 0x7fe07c831000 (10 bytes)
1640217908.594965 sending message 112 to peer 0x7fe07c831000 (8 bytes)
1640217908.594971 sending message 112 to peer 0x7fe07c831000 (15 bytes)
1640217908.594976 sending message 112 to peer 0x7fe07c831000 (13 bytes)
1640217908.594982 sending message 112 to peer 0x7fe07c831000 (10 bytes)
1640217908.594987 sending message 112 to peer 0x7fe07c831000 (10 bytes)
1640217908.594993 sending message 112 to peer 0x7fe07c831000 (5 bytes)
1640217908.594998 sending message 112 to peer 0x7fe07c831000 (15 bytes)
1640217908.595006 sending message 104 to peer 0x7fe07c831000 (0 bytes)
1640217908.595012 sending message 110 to peer 0x7fe07c831000 (0 bytes)
1640217908.595018 sending message 107 to peer 0x7fe07c831000 (4 bytes)
1640217908.595024 sending message 105 to peer 0x7fe07c831000 (14 bytes)
1640217908.595029 sending message 105 to peer 0x7fe07c831000 (20 bytes)
1640217908.595035 sending message 105 to peer 0x7fe07c831000 (22 bytes)
1640217908.595041 sending message 105 to peer 0x7fe07c831000 (27 bytes)
1640217908.595046 sending message 105 to peer 0x7fe07c831000 (29 bytes)
1640217908.595052 sending message 105 to peer 0x7fe07c831000 (22 bytes)
1640217908.595057 sending message 105 to peer 0x7fe07c831000 (61 bytes)
1640217908.595065 sending message 105 to peer 0x7fe07c831000 (15 bytes)
1640217908.595071 sending message 105 to peer 0x7fe07c831000 (19 bytes)
1640217908.595077 sending message 105 to peer 0x7fe07c831000 (27 bytes)
1640217908.595082 sending message 105 to peer 0x7fe07c831000 (8 bytes)
1640217908.595088 sending message 105 to peer 0x7fe07c831000 (25 bytes)
1640217908.595093 sending message 105 to peer 0x7fe07c831000 (32 bytes)
1640217908.595099 sending message 105 to peer 0x7fe07c831000 (54 bytes)
1640217908.595104 sending message 105 to peer 0x7fe07c831000 (44 bytes)
1640217908.595110 sending message 105 to peer 0x7fe07c831000 (10 bytes)
1640217908.595115 sending message 105 to peer 0x7fe07c831000 (12 bytes)
1640217908.595121 sending message 105 to peer 0x7fe07c831000 (11 bytes)
1640217908.595127 sending message 105 to peer 0x7fe07c831000 (242 bytes)
1640217908.595133 sending message 105 to peer 0x7fe07c831000 (41 bytes)
1640217908.595139 sending message 105 to peer 0x7fe07c831000 (24 bytes)
1640217908.595145 sending message 105 to peer 0x7fe07c831000 (15 bytes)
1640217908.595163 sending message 105 to peer 0x7fe07c831000 (8 bytes)
1640217908.595169 sending message 105 to peer 0x7fe07c831000 (66 bytes)
1640217908.595174 sending message 105 to peer 0x7fe07c831000 (12 bytes)
1640217908.595180 sending message 105 to peer 0x7fe07c831000 (18 bytes)
1640217908.595185 sending message 105 to peer 0x7fe07c831000 (26 bytes)
1640217908.595191 sending message 105 to peer 0x7fe07c831000 (60 bytes)
1640217908.595197 sending message 105 to peer 0x7fe07c831000 (57 bytes)
1640217908.595202 sending message 105 to peer 0x7fe07c831000 (42 bytes)
1640217908.595208 sending message 105 to peer 0x7fe07c831000 (13 bytes)
1640217908.595213 sending message 105 to peer 0x7fe07c831000 (22 bytes)
1640217908.595219 sending message 105 to peer 0x7fe07c831000 (14 bytes)
1640217908.595224 sending message 105 to peer 0x7fe07c831000 (19 bytes)
1640217908.595230 sending message 105 to peer 0x7fe07c831000 (39 bytes)
1640217908.595237 sending message 105 to peer 0x7fe07c831000 (22 bytes)
1640217908.595243 sending message 105 to peer 0x7fe07c831000 (43 bytes)
1640217908.595249 sending message 105 to peer 0x7fe07c831000 (33 bytes)
1640217908.595254 sending message 105 to peer 0x7fe07c831000 (22 bytes)
1640217908.595260 sending message 106 to peer 0x7fe07c831000 (0 bytes)
1640217908.595273 sending message 200 to peer 0x7fe07c831000 (4 bytes)
1640217908.595280 client loop enter
1640217908.595581 peer 0x7fe07c831000 message 303
1640217908.595608 open write file 2 -
1640217908.595633 sending message 305 to peer 0x7fe07c831000 (8 bytes)
1640217908.595660 write check file 2
1640217908.595718 peer 0x7fe07c831000 message 304
1640217908.595727 write 58 to file 2
1640217908.595738 peer 0x7fe07c831000 message 203
1640217908.595744 file 2 58 bytes left
1640217908.595765 write check file 2
1640217908.595773 client loop exit
